"Name","Language","Description"
"calesthio / OpenMontage","Python","World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio."
"ZhuLinsen / daily_stock_analysis","Python","LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs."
"apple / container","Swift","A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is written in Swift, and optimized for Apple silicon."
"interviewstreet / hiring-agent","Python","AI agent to evaluate and score resumes."
"JCodesMore / ai-website-cloner-template","TypeScript","Clone any website with one command using AI coding agents"
"revfactory / harness","HTML","A meta-skill that designs domain-specific agent teams, defines specialized agents, and generates the skills they use."
"flutter / flutter","Dart","Flutter makes it easy and fast to build beautiful apps for mobile and beyond"
"andreknieriem / headunit-revived","Kotlin","Headunit App for displaying Android Auto"
"stablyai / orca","TypeScript","Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop and mobile."
"google-labs-code / design.md","TypeScript","A format specification for describing a visual identity to coding agents. DESIGN.md gives agents a persistent, structured understanding of a design system."
"Flowseal / zapret-discord-youtube","Batchfile",""
"kunchenguid / no-mistakes","Go","git push no-mistakes"
"NousResearch / hermes-agent","Python","The agent that grows with you"
