Title,Points
I Stored a Website in a Favicon,51 points
Data Compression Explained (2012),85 points
There are no instances in ATProto,413 points
The discovery that changed how scientists think about memory – IBM,26 points
Surprising economics of load-balanced systems,87 points
Can you see three trees?,48 points
Satellite reveals immense scale of GPS signal tampering,46 points
Hyundai buys Boston Dynamics,764 points
Norway imposes near ban on AI in elementary school,596 points
How many of the 170k English words do you know?,322 points
"Project Valhalla, Explained: How a Decade of Work Arrives in JDK 28",579 points
"Bobby Prince, composer for Doom, Wolfenstein 3D, and Duke Nukem 3D, has died",317 points
Where to Find the Colors Your Screen Can't Show You,8 points
A Perceptron in Age of Empires II,63 points
Egyptian Fractions,85 points
Ask HN: Will programmers write more efficient code during the memory shortage?,80 points
John Jumper to join Anthropic,114 points
Court Records Should Be Free,339 points
Telescope Ranchers,115 points
AURpocalypse now: a look at the recent AUR attacks,61 points
Big Banana Car,139 points
Digital Printing of Arabic: explaining the problem,47 points
"Hey, n00b, we didn't hire you to complete tasks",148 points
How to feed a dictator,127 points
World Cup 2026: Soccer Arcade Games Through the Years,4 points
Zen and the Art of Machine Learning Research,250 points
Building a robotics research setup that lives next to my desk,140 points
Show HN: Metiq: a real time 3D globe for 100 public datasets,113 points
Think of the children: How to force real ID for all internet traffic (2023),187 points
GPT-5.5 hallucinates 3x more than MIT-licensed GLM-5.2,64 points
