Headline,Link
"Cops recreate crime scene, gait analysis of Chetan; dummy used matching Ketan’s weight",https://timesofindia.indiatimes.com/city/pune/lohagad-fort-murder-cops-recreate-crime-scene-gait-analysis-of-chetan-dummy-used-matching-ketan-agarwals-weight/articleshow/132105336.cms
"News
Big relief for Sreesanth! Kerala CA revokes three-year ban after apology",https://timesofindia.indiatimes.com/sports/cricket/news/big-relief-for-sreesanth-kerala-cricket-association-revokes-three-year-ban-after-unconditional-apology/articleshow/132110626.cms
"India
'HC went beyond ... ': Vijay-led TN govt moves SC challenging cow slaughter ban even on Bakrid",https://timesofindia.indiatimes.com/india/hc-went-beyond-vijay-led-tamil-nadu-government-moves-sc-against-order-banning-cow-slaughter-even-on-bakrid/articleshow/132109485.cms
"Tech News
AWS invests $1 billion in AI unit to build agentic AI with customers",https://timesofindia.indiatimes.com/technology/tech-news/amazon-web-services-invests-1-billion-into-a-new-ai-unit-to-embed-thousands-of-engineers-directly-with-customers-to-/articleshow/132110217.cms
"Lucknow
UP shines bright in national solar awards event",https://timesofindia.indiatimes.com/city/lucknow/up-shines-bright-in-natl-solar-awards-event/articleshow/131516521.cms
"India
'Sham SIT and bogus FIR': Kejriwal claims real culprits of Ram Mandir donation scam being shielded",https://timesofindia.indiatimes.com/india/sham-sit-and-bogus-fir-kejriwal-claims-real-culprits-of-ram-mandir-donation-scam-being-shielded/articleshow/132109648.cms
"News
Odisha’s JAGA Mission: How slum dwellers get land rights, not just houses",https://timesofindia.indiatimes.com/real-estate/news/odishas-jaga-mission-how-slum-dwellers-get-land-rights-not-just-houses/articleshow/132096597.cms
"Box Office
'Welcome to the Jungle' BO collection: Movie eyes Rs 90-100 crore week 1 finish",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/box-office/welcome-to-the-jungle-box-office-collection-day-6-live-akshay-kumar-led-multi-starrer-inches-closer-to-rs-90-crore-net-as-worldwide-gross-crosses-over-rs-120-crore-ahead-of-clash-with-alpha/articleshow/132109436.cms
"News
Court orders new battery for faulty EV scooter, awards Rs 15K compensation",https://timesofindia.indiatimes.com/legal/news/consumer-court-orders-new-battery-for-faulty-ev-scooter-awards-rs-15000-compensation/articleshow/132109605.cms
"India Business
Passport fees, commercial LPG prices, Aadhaar update, ITR deadline: What changes from today",https://timesofindia.indiatimes.com/business/india-business/lpg-prices-passport-fees-aadhaar-update-new-itr-deadline-and-more-what-changes-from-july-1/articleshow/132106369.cms
"India tour of England
'I don't think he will...': Pujara on Sooryavanshi's India debut in England",https://timesofindia.indiatimes.com/sports/cricket/india-tour-of-england/i-dont-think-he-will-cheteshwar-pujara-on-vaibhav-sooryavanshis-india-debut-in-england/articleshow/132108810.cms
"Trending
TTE brings doctor to treat child’s fever on train for free",https://timesofindia.indiatimes.com/etimes/trending/tte-arrived-with-a-doctor-man-shares-how-sons-fever-in-train-was-treated-free-of-cost-with-the-help-of-railway-employees-claims-india-is-progressing/articleshow/132108334.cms
"News
No wedding rituals, no valid Hindu marriage despite registration: Gujarat HC",https://timesofindia.indiatimes.com/legal/news/not-just-song-and-dance-what-makes-a-hindu-marriage-valid-gujarat-hc-says-registration-not-enough/articleshow/132107379.cms
"US
US cracks down on 'birth tourism', warns of visa fraud, money laundering charges: What it means",https://timesofindia.indiatimes.com/world/us/us-cracks-down-on-birth-tourism-warns-of-visa-fraud-money-laundering-charges-what-it-means/articleshow/132107487.cms
'Don't want to look like America': 5 reasons why Europe is against ACs despite record heatwave,https://timesofindia.indiatimes.com/world/europe/dont-want-to-look-like-america-5-reasons-why-europe-is-against-air-conditioners-despite-melting-summers/articleshow/132107514.cms
"Hormuz oil shock sends India back to Russia: Is this a peak or the new normal?
Russia has emerged as the dominant supplier of crude oil for India - with imports touching over 240 million barrels in the four months since the US-Iran conflict began. In fact, crude imports from Russia are over 4 times the nearest supplier - UAE at over 58 million barrels.",https://timesofindia.indiatimes.com/business/india-business/hormuz-oil-shock-sends-india-back-to-russia-is-this-a-peak-or-the-new-normal/articleshow/132110550.cms
"How can 1,300 people die of heat in one of the richest places on earth?
Parisians are checking into hotel rooms just to sleep. In Britain, the heat is shutting down MRI scanners and cancer-treatment machines. And in Switzerland, towns opened air-conditioned cinemas for free because people needed somewhere cool to sit. Why is it so bad? There are 4 reasons",https://timesofindia.indiatimes.com/toi-plus/infrastructure/how-can-1300-people-die-of-heat-in-one-of-the-richest-places-on-earth/articleshow/132084307.cms
"Brain, heart, lungs missing: Indian sailor dies in Venezuela, family says major organs removed
A shocking discovery has emerged regarding the death of Indian seafarer Rakesh Chauhan in Venezuela. His body, returned to India without vital organs and with extensive prior stitching, has raised grave suspicions. The seafarers' union is demanding a thorough investigation into the alleged foul play and a cover-up, urging immediate intervention from the Indian Embassy for justice and compensation for the grieving family.",https://timesofindia.indiatimes.com/india/brain-heart-lungs-liver-missing-indian-seafarer-dies-in-venezuela-family-alleges-major-organs-removed/articleshow/132107913.cms
"Hardik Pandya trade: CSK enter the race; seven franchises express interest
Seven IPL franchises have expressed interest in signing Hardik Pandya after the all-rounder decided to leave Mumbai Indians. Chennai Super Kings (CSK) have joined Kolkata Knight Riders (KKR) and Rajasthan Royals in the race, with talks gathering pace. Player consent, leadership opportunities and trade structures are expected to shape one of the biggest IPL moves in recent years.",https://timesofindia.indiatimes.com/sports/cricket/news/hardik-pandya-trade-csk-enter-the-race-seven-franchises-express-interest/articleshow/132107819.cms
"'Portrayed as Lord Krishna': BJP slams SP for 'mocking Hindus' over Akhilesh's birthday havan
The BJP has strongly criticized the Samajwadi Party, accusing them of disrespecting Hindus after workers depicted Akhilesh Yadav as Lord Krishna during a birthday ritual. This accusation comes amid controversy over alleged Ram Temple donation irregularities. Uttar Pradesh Chief Minister Yogi Adityanath also attacked Yadav, urging him to visit the Ram Temple and recalling past SP actions against devotees.",https://timesofindia.indiatimes.com/india/portrayed-as-lord-krishna-bjp-slams-samajwadi-party-for-mocking-hindus-over-akhileshs-birthday-havan/articleshow/132110287.cms
"Free for TOI+ subscribers. Need a lawyer? Write to us
Write to us on the email listed below to get guidance from our panel of leading experts who will respond to your legal queries each week with clear advice in simple language",https://timesofindia.indiatimes.com/toi-plus/law/free-for-toi-subscribers-need-a-lawyer-write-to-us/articleshow/127852743.cms
"Days after Meta Layoffs, Zuckerberg says companies should empower workers, not replace them
Meta CEO Mark Zuckerberg believes AI-driven job losses are exaggerated, advocating for tools that boost individual productivity. This comes as the tech giant laid off 8,000 employees, reassigning another 7,000 to AI projects, to offset significant investments in its AI ""reboot."" While Meta pours billions into AI infrastructure, Zuckerberg suggests a focus on human empowerment could create more jobs, a view contrasting with some industry leaders.",https://timesofindia.indiatimes.com/technology/tech-news/days-after-meta-sent-4-am-layoff-emails-to-8000-employees-ceo-mark-zuckerberg-says-that-the-job-situation-will-improve-if-companies-focused-more-on-/articleshow/132109593.cms
